date,month,month_long,mean_temp
17071.0,Sep,September,62
17072.0,Sep,September,56
17073.0,Sep,September,52
17074.0,Sep,September,53
17075.0,Oct,October,58
17076.0,Oct,October,63
17077.0,Oct,October,67
17078.0,Oct,October,55
17079.0,Oct,October,54
17080.0,Oct,October,43
17081.0,Oct,October,46
17082.0,Oct,October,55
17083.0,Oct,October,57
17084.0,Oct,October,62
17085.0,Oct,October,49
17086.0,Oct,October,37
17087.0,Oct,October,44
17088.0,Oct,October,58
17089.0,Oct,October,61
17090.0,Oct,October,57
17091.0,Oct,October,61
17092.0,Oct,October,54
17093.0,Oct,October,49
17094.0,Oct,October,44
17095.0,Oct,October,48
17096.0,Oct,October,55
17097.0,Oct,October,51
17098.0,Oct,October,46
17099.0,Oct,October,58
17100.0,Oct,October,59
17101.0,Oct,October,61
17102.0,Oct,October,67
17103.0,Oct,October,53
17104.0,Oct,October,48
17105.0,Oct,October,63
17106.0,Nov,November,53
17107.0,Nov,November,53
17108.0,Nov,November,53
17109.0,Nov,November,53
17110.0,Nov,November,51
17111.0,Nov,November,56
17112.0,Nov,November,50
17113.0,Nov,November,45
17114.0,Nov,November,45
17115.0,Nov,November,52
17116.0,Nov,November,41
17117.0,Nov,November,41
17118.0,Nov,November,52
17119.0,Nov,November,48
17120.0,Nov,November,50
17121.0,Nov,November,51
17122.0,Nov,November,40
17123.0,Nov,November,27
17124.0,Nov,November,25
17125.0,Nov,November,36
17126.0,Nov,November,32
17127.0,Nov,November,39
17128.0,Nov,November,35
17129.0,Nov,November,33
17130.0,Nov,November,37
17131.0,Nov,November,39
17132.0,Nov,November,37
17133.0,Nov,November,42
17134.0,Nov,November,34
17135.0,Nov,November,29
17136.0,Dec,December,33
17137.0,Dec,December,29
17138.0,Dec,December,29
17139.0,Dec,December,36
17140.0,Dec,December,38
17141.0,Dec,December,24
17142.0,Dec,December,16
17143.0,Dec,December,10
17144.0,Dec,December,9
17145.0,Dec,December,22
17146.0,Dec,December,15
17147.0,Dec,December,27
17148.0,Dec,December,12
17149.0,Dec,December,13
17150.0,Dec,December,18
17151.0,Dec,December,16
17152.0,Dec,December,-6
17153.0,Dec,December,-1
17154.0,Dec,December,16
17155.0,Dec,December,34
17156.0,Dec,December,34
17157.0,Dec,December,29
17158.0,Dec,December,29
17159.0,Dec,December,24
17160.0,Dec,December,37
17161.0,Dec,December,29
17162.0,Dec,December,29
17163.0,Dec,December,36
17164.0,Dec,December,30
17165.0,Dec,December,38
17166.0,Dec,December,30
