country,Rank,Happiness Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Luxembourg,19,7.054,6.964097023,11.40205193,0.9139077067,71.46674347,0.9165209532,0.04448125139,0.4027532041,0.8152487278,0.2274117172,0.7436705232,1.490909815,1.840276241,1.782285094,0.2559247911,0.343,0.3153636364,0.3489034176
Venezuela,20,7.039,7.066577435,9.780121803,0.9316296577,64.19911194,0.8041085601,-0.2055400461,0.7433743477,0.8578728437,0.176307857,0.5392730236,-0.9670481682,-1.405262709,2.325374365,0.3290665746,,0.4971666667,0.2932879329
Belgium,21,6.967,6.935122013,10.62246037,0.9271170497,71.3420105,0.8552666306,-0.05974919721,0.7575725317,0.8204857707,0.2382768095,0.4401171803,1.136510849,1.466563344,1.834067941,0.2644608021,0.275,0.2851818182,0.3273201585
United Kingdom,22,6.883,6.880784035,10.51577282,0.9345749617,70.91662598,0.8889704943,0.3613190651,0.425169915,0.8444522023,0.1842445284,0.4212621748,0.8707017303,1.646371841,1.870208263,0.2718016207,0.323,0.342,0.6521870494
Brazil,23,6.849,6.660003662,9.623650551,0.8903141022,64.35497284,0.848606348,,0.6225431561,0.7546249032,0.3497586846,0.458935678,0.2619339228,-0.03524950519,2.395508289,0.359685719,0.527,0.5502142857,0.5171296597
France,24,6.764,6.649365425,10.5279417,0.9370974302,71.97216034,0.8413203359,-0.1596499234,0.6079052687,0.754119575,0.2529880106,0.4406253397,0.8965236545,1.345152617,1.794548273,0.2698826492,0.33,0.3203,0.328147918
Germany,25,6.672,6.702362061,10.66480923,0.9264066219,70.59593964,0.9044404626,0.0603171289,0.6792367101,0.8037393093,0.1695761681,0.516928196,1.084679723,1.656006575,1.830847383,0.2731645107,,0.3115714286,0.405439347
Qatar,26,6.666,6.611298561,11.73848248,0.8381316662,67.11545563,0.924333632,0.1181456596,,0.7658988237,0.3221814334,,0.1509127319,0.9393361211,2.173816442,0.3288032413,,,0.5564124584
Chile,27,6.587,6.599128723,9.967881203,0.8552355766,68.78334808,0.7336109281,0.18186979,0.7821174264,0.8153911829,0.287592113,0.3432677984,0.7040236592,1.444172263,2.12383008,0.3218349218,,0.4915714286,0.4667419493
Argentina,28,6.562,6.468387127,9.863960266,0.9017763734,66.83669281,0.7474983931,-0.1480227709,0.8165462017,0.8565163016,0.2722191215,0.4182554781,0.1991252303,-0.5726534128,2.098196507,0.3243770897,0.425,0.4760666667,0.317216903
Kuwait,29,6.515,6.221094608,11.25955486,0.8889166713,64.8392334,0.9340495467,,,0.8207085729,0.09549049288,,-0.2196858674,0.01757476479,1.61350131,0.2593597174,,,0.3713550866
Saudi Arabia,30,6.48,6.396359444,10.8129282,0.8671009541,63.32237244,0.5604553819,-0.1442720592,,0.7152174711,0.2248409837,,-1.173164248,0.06209641322,2.12539649,0.3322822154,,,0.2630327344
Cyprus,31,6.466,6.180507183,10.36275196,0.7671771049,71.98014069,0.724629581,0.08674626052,0.8706917167,0.7553168535,0.3686329126,0.3364124,0.8285748363,1.218171716,2.206048727,0.3569365144,0.343,0.3249090909,0.40483132
Colombia,32,6.416,6.374879837,9.379259109,0.914372623,63.37839508,0.827868104,-0.0165038649,0.8683715463,0.8459177613,0.2937023938,0.3573828638,-0.7329008579,-0.07942368835,2.529939413,0.3968607187,0.535,0.5525,0.5100064278
Thailand,33,6.371,6.300235271,9.578333855,0.9060981274,65.48678589,0.8469328284,0.3697344661,0.9086120725,0.8545439839,0.1375030577,0.7028152347,-0.7688859105,-0.01224904135,1.761228085,0.2795495689,0.393,0.4026363636,0.4412552714
Uruguay,34,6.355,6.449728489,9.824302673,0.8646937013,67.72479248,0.8705900311,0.05338675156,0.6153495908,0.7878680229,0.2142027467,0.5842872858,0.8850672841,0.7065817118,2.317138672,0.3592614233,0.413,0.4426,0.4131447673
Spain,35,6.322,6.290690422,10.34525871,0.9370233417,73.37998199,0.7545861006,-0.06885740906,0.8435930014,0.749276638,0.3664744794,0.3391465545,0.517331183,1.066681504,2.038798571,0.3240977526,0.354,0.3445454545,0.3596456647
Czech Republic,36,6.29,6.334149361,10.25861073,0.9124267697,69.0668869,0.7398087382,-0.1608385593,0.956799686,0.6090407968,0.2565081418,0.1698113382,1.012242913,0.8255332708,2.028648853,0.3202717006,0.261,0.2647272727,0.2886693478
Suriname,37,6.269,6.269286633,9.624583244,0.7972620726,60.69157028,0.8854884505,-0.08000487089,0.7512828708,0.7642226815,0.250364989,0.7217652798,0.2100944519,-0.2185720503,1.948390126,0.3107833862,,,0.3676041663
South Korea,38,6.267,6.003286839,10.36649513,0.7753973603,73.19233704,0.6183980703,,0.8437194228,0.6638147235,0.2063646615,0.2308125645,0.4963495433,0.9032170177,2.070386887,0.3448755443,0.316,0.319,0.3862652183
Taiwan,39,6.221,6.125916958,,0.8250724077,70.05999756,0.6981951594,,0.8028291464,0.8213615417,0.1400108039,0.3351415098,0.870516479,1.028488517,2.035462141,0.3322705925,,,0.4332784712
Japan,40,6.064,5.968216419,10.50143242,0.9052954316,74.19293976,0.7528315187,,0.6923874021,0.7769108415,0.1714747101,0.1691780537,1.024869084,1.386078477,1.902083993,0.3187022507,,0.321,0.3611557484
Slovenia,41,6.06,6.062891006,10.23913479,0.9247537851,70.10884094,0.904386282,-0.02728441544,0.8907541037,0.6563763618,0.2839898467,0.2380659878,0.9674444199,0.8792589307,2.095799685,0.3456766307,0.256,0.2490909091,0.3393854499
Italy,42,6.021,5.839313984,10.46958542,0.86948663,72.33071136,0.570094943,0.1045923606,0.9083236456,0.6697612405,0.3876522481,0.2806946039,0.7125133872,0.4100390971,2.190985203,0.3752127886,0.349,0.3412727273,0.3690492809
Slovakia,43,5.969,5.91105938,10.17421913,0.9257514477,67.09675598,0.6200042963,-0.04379943386,0.9065321684,0.6561884284,0.3022608161,0.3683801591,1.030708909,0.6180747747,2.02477622,0.3425403237,0.261,0.2674545455,0.3063375354
Guatemala,44,5.965,5.855717182,8.839147568,0.8021489978,62.10200882,0.8654720187,0.01672626473,0.8209239841,0.862783432,0.3494049609,0.5024558306,-0.4949794114,-0.6657077074,2.68243742,0.4580886364,,0.52675,0.4863206744
Malta,45,5.964,5.962872028,10.27960587,0.9217520356,70.77765656,0.8606898785,0.3408752382,,0.7442806363,0.3905039728,0.4987580776,1.115231633,1.216024399,2.184447765,0.3663415611,,,0.4047964215
Ecuador,46,5.865,5.960716248,9.242050171,0.7852010131,66.38101959,0.8252751231,-0.08929894865,0.7299788594,0.8471848369,0.3333090544,0.6372349262,-0.4332103133,-0.8087363839,2.127263308,0.356880486,0.466,0.5059285714,0.3672393262
Bolivia,47,5.857,6.018894672,8.664394379,0.780819416,58.52014923,0.8623796701,-0.009825645946,0.8397014141,0.7824813724,0.4088801444,0.4352926314,-0.2698267102,-0.7343816161,2.167617559,0.3601354957,0.467,0.5316428571,0.4238950908
Poland,48,5.822,5.87593174,10.05268764,0.9359238744,66.77928162,0.8113017082,-0.03741158918,0.8878958225,0.7874891758,0.2667467892,0.2686287463,1.056877255,0.7699398994,1.88393259,0.32061854,0.324,0.3347333333,0.3476403058
El Salvador,49,5.809,5.934371471,8.927030563,0.8060147166,63.20287323,0.682744801,-0.1636615247,0.7862948179,0.8306321502,0.3652208149,0.3123109341,0.09719512612,-0.2282826155,2.34046936,0.3943921328,0.418,0.4611875,0.3967437446
Moldova,50,5.791,5.995712757,8.330985069,0.8262197971,62.53709793,0.6024185419,-0.001563910278,0.9554845691,0.5676965117,0.3137258887,0.2146221697,0.00603220053,-0.402287662,1.904993892,0.317726016,0.292,0.3299375,0.3755857646
Paraguay,51,5.779,5.820058346,8.897328377,0.9310049415,62.96724319,0.7482066154,0.2147300839,0.7736591101,0.8371753097,0.2128386348,0.2960636914,-0.4928195179,-0.7286666036,1.709317088,0.2936941385,0.482,0.5190666667,0.5050396323
Peru,52,5.776,5.824557304,9.300539017,0.7640715837,64.43893433,0.7030005455,-0.09106285125,0.8668379188,0.7571783662,0.3979585171,0.2722021043,-0.3965508938,-0.1494439095,2.097959995,0.3601921797,0.451,0.4891875,0.5207678676
Malaysia,53,5.76,5.914283752,10.02529716,0.8412189484,64.5929184,0.8480718136,-0.001914886292,0.8466184735,0.8673529029,0.1768818945,0.761775732,-0.1758757979,0.5482535958,1.56255281,0.2641998529,,0.461,0.4484169483
Kazakhstan,54,5.671,5.759469509,9.998214722,0.8917166591,61.42058945,0.8398323059,-0.1861950308,0.8766818047,0.7398428321,0.1843814999,0.7261606455,-0.7925878763,-0.6047688127,1.966768384,0.3414843082,0.275,0.2950666667,0.401825428
Croatia,55,5.661,6.027634621,9.919036865,0.7758178711,67.06228638,0.5419097543,-0.248352468,0.9238600135,0.6215745807,0.271040529,0.3111186028,0.5738610029,0.3551118672,2.060128689,0.3417806327,0.325,0.3233333333,0.3173695207
Turkmenistan,56,5.628,5.463827133,9.412086487,0.9458412528,59.65255356,0.7855633497,-0.146875903,,0.5844483376,0.1168807,,-0.9111703038,-1.53964889,1.871497869,0.3425250947,,,0.2371461242
Uzbekistan,57,5.623,6.019331932,8.469233513,0.9331412911,62.38180542,0.9135501385,-0.03976180777,0.4633750916,0.7856788039,0.1181768849,,-1.276144147,-1.270596623,2.020273924,0.3356309235,,0.348,0.3276218772
Angola,58,5.589,4.360249996,8.699287415,0.7525928617,51.52178955,0.4560285807,-0.1247060001,0.9063004851,0.5579081178,0.3048900664,0.2370906919,-0.7327846289,-1.124386311,2.150746107,0.4932621121,,0.427,
Albania,59,5.55,5.510124207,9.246648788,0.784501791,68.02888489,0.6015121341,-0.1745588034,0.8476752043,0.6066359282,0.2713932395,0.3648937047,-0.06078376994,-0.3288620114,1.92120254,0.3486677408,0.29,0.30325,0.5681526065
Vietnam,60,5.533,5.53456974,8.499093056,0.7750086784,65.4106369,0.8560534716,-0.1095295399,0.814884901,0.6151278615,0.2213559747,0.8564537168,-0.5763551593,-0.5045394301,1.454640627,0.2628281415,0.357,0.3642857143,0.4380140305
Hong Kong S.A.R. of China,61,5.523,5.483764648,10.82668686,0.8264256716,75.28047943,0.8797524571,0.2046568394,0.3797831535,0.7151373029,0.1833492666,0.4979059398,0.8229994774,1.776014566,1.937088728,0.3532406688,,,
Nicaragua,62,5.507,5.448006153,8.401390076,0.8940544128,65.06034851,0.8503049016,0.01891338266,0.6435787678,0.8032538295,0.2546604872,0.5733956695,-0.4425590038,-0.6742702723,2.462352276,0.4519731104,,0.48275,0.4613369703
Belarus,63,5.504,5.749043465,9.768808365,0.9019615054,63.96964645,0.6452488303,-0.2289473712,0.6574302316,0.5231954455,0.1807645261,,-0.7492830753,-0.8564399481,2.036961317,0.3543130755,0.265,0.281875,0.2804612517
Russia,64,5.464,5.620735645,10.1217947,0.9012951255,61.94788361,0.6091041565,-0.3076067269,0.937517941,0.6111641526,0.1736044884,0.4520017207,-0.8982654214,-0.6548540592,2.080929756,0.3702237308,0.407,0.39925,0.3766900599
North Cyprus,65,5.463,5.463305473,,0.8711500764,,0.6925676465,,0.8547296524,0.7092360854,0.4054346681,0.4140004516,,,2.743689299,0.5022031665,,,0.3682986796
Greece,66,5.435,5.096354008,10.10087299,0.8121411204,70.67931366,0.37261042,-0.3109920621,0.9589089751,0.5806875825,0.3515062928,0.1262189895,0.2417709082,0.271006763,2.490795374,0.4887406528,0.363,0.3469090909,0.3441457748
Estonia,67,5.426,5.363927841,10.15393448,0.8894545436,66.41425323,0.6968257427,-0.201046899,0.7928526998,0.6473603249,0.1989667416,0.2729759514,0.8741949201,1.156192064,1.961893439,0.3657568693,0.329,0.333,0.3817320764
Lithuania,68,5.426,5.771037102,10.08793449,0.918690145,64.88002777,0.5030271411,-0.2819199264,0.9569592476,0.5809710026,0.2773855627,0.1457295418,0.8578597903,0.8004401922,1.846569896,0.3199719191,0.351,0.3530909091,0.3101136386
Algeria,69,5.422,5.604595661,9.485086441,0.839396894,64.73936462,0.5866634846,-0.1988706887,0.6901163459,0.6040232778,0.2297156602,,-1.115534902,-0.7711715698,1.939236641,0.3460083008,,0.276,0.4214086235
Jordan,70,5.414,5.131996155,9.101000786,0.8294963241,63.78110504,0.6931421161,-0.160638839,,0.5647245049,0.3453364074,,-0.6292351484,0.1559111923,2.095973015,0.4084128141,,0.343,0.3240623772
Indonesia,71,5.348,5.36777401,9.132506371,0.8336211443,59.83226013,0.7703193426,0.3406031728,0.9615888596,0.8969274163,0.2289796025,0.6725809574,-0.2628250718,-0.4417856336,1.602591753,0.2985579669,,0.395,0.4123979807
Turkey,72,5.345,5.309076309,9.917490959,0.7392805815,64.68478394,0.4709032178,-0.2247788608,0.7018502355,0.6447810531,0.3348328173,0.5309996605,-0.7137327194,0.2556655407,1.974840164,0.371974349,0.402,0.4030769231,0.330034256
Libya,73,5.34,5.754394054,10.02394676,0.8549309373,61.14139557,0.7115188837,-0.06226363778,0.7905561328,0.6948840022,0.3161496818,,-1.243850827,-1.40801692,2.278058529,0.3958815634,,,0.3474021852
Bahrain,74,5.312,5.027186871,10.62035942,0.9113495946,65.5225296,0.681822896,,0.4379152656,0.5890154839,0.3808147609,,-1.223989844,0.4678467512,1.900918961,0.3781277835,,,0.3308746219
Montenegro,75,5.299,5.218724251,9.551541328,0.7040327787,66.01222229,0.4617063701,-0.1945617944,0.7550597191,0.5736104846,0.379281342,0.3553998172,0.4072344899,0.01485325675,2.309457302,0.4425329268,0.322,0.3093,0.3550635874
Pakistan,76,5.292,5.131565094,8.38193512,0.5420380235,56.60122681,0.3668441176,0.1506817341,0.8420245051,0.6646184921,0.3324477375,0.2286804169,-1.760292888,-0.8605480194,2.179158688,0.4246577024,,0.3125714286,0.4294294715
Nigeria,77,5.248,5.492954254,8.582878113,0.8175795674,44.03263855,0.6516888738,0.05468057841,0.9004313946,0.8109055161,0.2090994865,0.3035616875,-1.371146798,-1.006082296,1.732020974,0.3153168261,,0.4155,0.4810748696
Kosovo,78,5.222,5.639588356,9.034417152,0.7571471334,61.22325897,0.6357933879,0.01928925887,0.9496514201,0.5955715775,0.09963038564,0.3123989701,,,2.442061186,0.4330211878,,,0.3740545511
Honduras,79,5.142,4.602218151,8.327683449,0.7791948915,62.92237854,0.7004520893,0.003997721244,0.8714371324,0.8465103507,0.2935912609,0.2633529603,-0.4099466503,-0.7463109493,2.548845053,0.55382967,0.574,0.5556,0.4766641855
Portugal,80,5.101,4.993962288,10.15835667,0.8660386205,70.45056152,0.7738214135,-0.1042711213,0.9592884183,0.7289344668,0.3701699674,0.2306251526,0.9019004703,0.9719284773,2.494402647,0.4994836748,0.36,0.367,0.4253177345
Ghana,81,5.091,5.057261944,8.197658539,0.6851118803,53.58569717,0.6794184446,0.04771926627,0.8978361487,0.7596880198,0.1523763835,0.5767508149,0.2810235918,-0.00911937654,2.139453173,0.4230457544,0.422,0.425,
Ukraine,82,5.057,5.030342102,9.026679039,0.8975734711,62.95043945,0.5636497736,-0.2054256648,0.8962370157,0.5703376532,0.1928190738,0.2369361222,-0.1859089583,-0.7597025037,1.977613568,0.393137008,0.247,0.266,0.3552692235
Latvia,83,5.046,5.125025272,9.944042206,0.8511952162,64.80504608,0.563811779,-0.04499488696,0.8949793577,0.560012877,0.232224524,0.1912198067,0.6145711541,0.7214947939,1.890645146,0.3689045608,0.352,0.362,0.3217988908
Kyrgyzstan,84,5.042,5.207785606,7.962011337,0.8561817408,61.88621521,0.7027316689,-0.05572851747,0.8920367956,0.6905240417,0.1823832691,0.5132870674,-0.7611742616,-0.8151615262,1.584668517,0.3042883575,0.274,0.306375,0.3260069191
Romania,85,5.033,5.166874886,9.814229965,0.7400431037,66.36763763,0.6445361376,-0.1170415431,0.9594861269,0.5559939742,0.3426146209,0.2363762856,0.2004355788,0.00535980612,2.449491739,0.4740760624,0.273,0.2909285714,0.4257692695
Zambia,86,5.006,5.013374805,8.163204193,0.7800225616,50.67415619,0.7877603173,-0.002135111019,0.8063943982,0.7259647846,0.2503684461,0.5941137671,0.2640679777,-0.3880924582,2.200456381,0.4389171898,,0.5274,0.6109439135
Philippines,87,4.985,5.001965046,8.697647095,0.8129217029,59.65584183,0.9144995809,0.04732471704,0.7711676359,0.8651311398,0.3511252701,0.7582085729,-0.6089634895,-0.2597343326,2.471630812,0.4941319525,0.422,0.4188333333,0.5222166777
China,88,4.978,5.094917297,9.318813324,0.7878181934,68.56943512,0.808255136,-0.2029186189,,0.8207849264,0.1587029994,,-1.08836174,-0.2989960909,2.083999872,0.4090350866,0.422,0.425,0.5575392842
Dominican Republic,89,4.963,4.753311157,9.349291801,0.8791581988,62.68739319,0.8401293755,-0.06519880891,0.7273002863,0.7968018055,0.2970431447,0.4315841198,0.1884795129,-0.5405619144,2.741707325,0.5767994523,0.457,0.4886875,0.5762130022
South Africa,90,4.963,5.133887768,9.419760704,0.9065951109,50.58544159,0.5901449919,-0.1744494587,0.8382167816,0.7613665462,0.1781832427,0.4258774519,0.2783833146,0.1805592626,2.17634201,0.4239169359,,0.6225,0.5657951236
Lebanon,91,4.931,4.572566986,9.619617462,0.7126114964,68.10767365,0.6206271648,-0.007968697697,0.8557775617,0.4994409084,0.3388568461,,-1.025322795,-0.5212273598,2.328357935,0.509201467,,0.318,0.3702098131
Morocco,92,4.885,4.969656467,8.823402405,0.6758249402,64.14507294,0.7567846179,-0.1987012774,0.8449347615,0.6871310472,0.2813359797,0.525867641,-0.5380629897,-0.1970709413,1.934658766,0.3892942667,,0.4065,0.5582728982
Somaliland region,93,4.847,5.057314396,,0.7862912416,,0.7582190037,,0.3338317275,0.7351891398,0.1524282247,0.6512415409,,,1.84780252,0.3653723001,,,0.5335746408
Mongolia,94,4.834,4.885150433,9.188996315,0.9185160995,61.13117599,0.6883116961,0.09188356996,0.9323859811,0.6890526414,0.1810663491,0.3102683127,0.2683049142,-0.4383928478,1.579062223,0.3232371807,0.338,0.3358333333,0.3798568547
Zimbabwe,95,4.827,4.955100536,7.534424305,0.8964762092,47.65478897,0.4695311785,-0.07287746668,0.8586905003,0.6692786813,0.1773107797,0.4070838392,-1.12531507,-1.555728316,1.853194833,0.3739974201,,0.432,0.4872029424
Tunisia,96,4.826,4.463531017,9.249967575,0.6144227982,65.147995,0.5677372217,-0.1911033988,0.8994531631,0.5209141374,0.3269998133,0.4352194667,-0.4464845657,-0.1030367613,2.117940903,0.4744989872,,0.381,0.4353347719
Iraq,97,4.817,4.659508705,9.590554237,0.7301182151,60.08565903,0.3145646155,-0.05977096036,0.78919065,0.4229276478,0.4490588903,0.339846313,-1.50511539,-1.258518577,1.971013665,0.423008889,0.295,0.2905,0.3372286558
Bosnia and Herzegovina,98,4.813,4.773144722,9.203255653,0.7788598537,67.22298431,0.4197893143,-0.01526561379,0.9534219503,0.547962606,0.3382406831,0.194952324,-0.3192370534,-0.2549371123,2.411530972,0.5052289367,,0.32725,0.4149228334
Serbia,99,4.813,5.154521942,9.464875221,0.8194304109,64.85837555,0.4605746865,-0.1345798969,0.9516678452,0.5143323541,0.3712364435,0.2232511789,-0.009177982807,-0.2128177136,2.459745407,0.4772014618,,0.3059,0.3542899489
Bangladesh,100,4.804,4.724443913,7.903443813,0.5817652941,60.94363022,0.6676822901,-0.0271593798,0.7648944259,0.7135082483,0.1832453907,0.7058119178,-0.8905148506,-0.8836794496,1.928409934,0.4081771374,,0.329,0.4275033772
Laos,101,4.787,4.876084805,8.417757988,0.6926279068,56.26917648,,0.2380681485,,0.9168009758,0.3866792321,,-0.8049160838,-0.8821674585,1.696086407,0.3478377461,0.364,0.348,0.6117562056
Hungary,102,4.775,4.683358192,10.02491188,0.9061139822,66.05580139,0.5692315102,-0.1470437348,0.9302973151,0.6519079804,0.3153980076,0.2097782642,0.7125812173,0.64710778,2.094283819,0.4471756518,0.305,0.2968181818,0.3106411994
India,103,4.772,4.720146656,8.482096672,0.5105745792,58.20915604,0.6093201041,0.05529278517,0.8296147585,0.6287343502,0.2948410213,0.5392065048,-0.4449278414,-0.3072330058,1.964058876,0.4161012471,,0.352,0.3940365314
Mauritania,104,4.758,4.673203945,8.149764061,0.7633327246,52.5381012,0.487372756,-0.002736215014,0.7070057988,0.7820675969,0.1636814922,0.3839749992,-1.022454023,-0.8116333485,1.355009198,0.2899529338,,0.36825,0.3597749472
Palestinian Territories,105,4.7,4.646608353,8.485044479,0.7821691036,62.48500061,0.5415828824,-0.1582238525,0.7301940918,0.6163551807,0.3785038292,0.466042757,,,2.207691669,0.4751189351,,,0.3974960744
Iran,106,4.643,4.608927727,9.718718529,0.5995426178,64.69434357,0.7644184232,,0.6777071357,0.6085979342,0.5249687433,0.7185541987,-1.462069392,-0.9143994451,2.500261784,0.5424823165,,0.4132,0.4276078939
Azerbaijan,107,4.604,4.910771847,9.673333168,0.7618732452,62.47997284,0.5988590717,-0.1642878354,0.7631548047,0.5538694263,0.2660934031,0.7079892755,-1.007616758,-0.7999090552,1.891108274,0.3850938976,,0.2288333333,0.2998872399
Congo (Kinshasa),108,4.578,4.63922739,6.481235981,0.7695459723,48.95683289,0.5572862029,-0.005517538637,0.8074066043,0.6340030432,0.2296513766,0.4375702143,-1.78348732,-1.528378963,1.280192971,0.2759495974,0.421,0.4215,0.4199361503
Macedonia,109,4.574,4.639647484,9.354403496,0.7983050346,65.12363434,0.613055706,-0.08659270406,0.9198451638,0.6418868303,0.4217519164,0.369646579,-0.2605728209,0.00512482319,2.1744771,0.4686729014,0.401,0.3901666667,0.3756512105
Ethiopia,110,4.561,4.561168671,7.115237236,0.6587942839,54.35425186,0.7763082385,-0.03252097592,,0.6683414578,0.1371661276,,-1.436589599,-0.6883252263,1.858586311,0.4074802995,,0.315,0.5210139155
Uganda,111,4.443,4.309237957,7.383019924,0.8847216964,50.0959053,0.6494632363,0.0945379287,0.8375458717,0.7539839745,0.2653223872,0.3962233067,-0.6812562943,-0.536405623,1.750787735,0.4062870741,0.41,0.43325,0.6941416264
Myanmar,112,4.439,4.438939571,8.330550194,0.6122496724,56.76591492,0.6910942793,0.6253916025,0.6947386861,0.7643041611,0.2054144144,,-1.281897187,-1.433520555,1.732100248,0.3902058601,,0.381,0.4614269137
Cameroon,113,4.42,4.244634151,8.013411522,0.7428373098,48.18658447,0.7660642266,-0.03372201696,0.898028791,0.617998898,0.2844478786,0.5333145857,-0.8050492406,-1.032383323,2.237308741,0.5270910859,,0.438,0.4913602471
Kenya,114,4.403,4.547335148,7.864229202,0.83141011,56.35370636,0.6276541948,0.08248769492,0.9112730622,0.7069639564,0.1941772401,0.4018447697,-0.8056224585,-0.6851089597,1.782849431,0.3920646608,,0.485,0.5602175593
Sudan,115,4.401,4.550499439,8.318027496,0.8125007153,53.30289841,0.411947906,-0.06439164281,0.7336792946,0.5761778951,0.2423738688,,-2.017451763,-1.405126214,1.59638381,0.3508150876,,0.354,0.7994771004
